date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:29	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:28%20GMT	https://nyerihigh.sc.ke/students-uniform.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/students-uniform.html	(from https://nyerihigh.sc.ke/index)
10:12:29	9324/9324	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:30:32%20GMT	https://nyerihigh.sc.ke/students-uniform	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/students-uniform.html	(from https://nyerihigh.sc.ke/index)
10:12:29	75480/75480	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Mar%202024%2014:27:13%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-13.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-13.jpg	(from https://nyerihigh.sc.ke/index)
10:12:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:29%20GMT	https://nyerihigh.sc.ke/backgroundphotos/nyerihigh-logo.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/backgroundphotos/nyerihigh-logo.jpg	(from https://nyerihigh.sc.ke/index)
10:12:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:30%20GMT	https://nyerihigh.sc.ke/videos/videos_of_school1.webm	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/videos/videos_of_school1.webm	(from https://nyerihigh.sc.ke/index)
10:12:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:30%20GMT	https://nyerihigh.sc.ke/player.swf	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/player.swf	(from https://nyerihigh.sc.ke/index)
10:12:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:31%20GMT	https://nyerihigh.sc.ke/videos/videos_of_school2.webm	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/videos/videos_of_school2.webm	(from https://nyerihigh.sc.ke/index)
10:12:31	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:31%20GMT	https://nyerihigh.sc.ke/index.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/index-2.html	(from https://nyerihigh.sc.ke/index)
10:12:32	85582/85582	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Oct%202021%2005:56:20%20GMT	https://nyerihigh.sc.ke/js/jquery/jquery-2.2.4.min.js	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/js/jquery/jquery-2.2.4.min.js	(from https://nyerihigh.sc.ke/index)
10:12:32	20340/20340	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Oct%202021%2005:54:43%20GMT	https://nyerihigh.sc.ke/js/bootstrap/popper.min.js	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/js/bootstrap/popper.min.js	(from https://nyerihigh.sc.ke/index)
10:12:33	50676/50676	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Oct%202021%2005:54:43%20GMT	https://nyerihigh.sc.ke/js/bootstrap/bootstrap.min.js	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/js/bootstrap/bootstrap.min.js	(from https://nyerihigh.sc.ke/index)
10:12:34	135211/135211	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Oct%202021%2005:57:07%20GMT	https://nyerihigh.sc.ke/js/plugins/plugins.js	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/js/plugins/plugins.js	(from https://nyerihigh.sc.ke/index)
10:12:34	3316/3316	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Oct%202021%2005:53:24%20GMT	https://nyerihigh.sc.ke/js/active.js	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/js/active.js	(from https://nyerihigh.sc.ke/index)
10:12:35	140421/140421	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2005:49:13%20GMT	https://nyerihigh.sc.ke/css/bootstrap.min.css	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/css/bootstrap.min.css	(from https://nyerihigh.sc.ke/style.css)
10:12:35	2941/2941	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2005:49:12%20GMT	https://nyerihigh.sc.ke/css/owl.carousel.min.css	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/css/owl.carousel.min.css	(from https://nyerihigh.sc.ke/style.css)
10:12:36	57095/57095	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2005:49:12%20GMT	https://nyerihigh.sc.ke/css/animate.css	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/css/animate.css	(from https://nyerihigh.sc.ke/style.css)
10:12:36	5599/5599	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2005:49:13%20GMT	https://nyerihigh.sc.ke/css/magnific-popup.css	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/css/magnific-popup.css	(from https://nyerihigh.sc.ke/style.css)
10:12:37	31000/31000	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2005:49:13%20GMT	https://nyerihigh.sc.ke/css/font-awesome.min.css	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/css/font-awesome.min.css	(from https://nyerihigh.sc.ke/style.css)
10:12:37	2619/2619	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2005:49:12%20GMT	https://nyerihigh.sc.ke/css/custom-icon.css	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/css/custom-icon.css	(from https://nyerihigh.sc.ke/style.css)
10:12:38	22814/22814	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2005:49:12%20GMT	https://nyerihigh.sc.ke/css/classy-nav.min.css	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/css/classy-nav.min.css	(from https://nyerihigh.sc.ke/style.css)
10:12:38	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:38%20GMT	https://nyerihigh.sc.ke/index.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/index-2.html	(from https://nyerihigh.sc.ke/students-assignments)
10:12:39	66833/66833	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:14%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-nhs-2.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-nhs-2.jpg	(from https://nyerihigh.sc.ke/students-assignments)
10:12:40	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:40%20GMT	https://nyerihigh.sc.ke/downloads/student-revision/FORM%203%20HOLIDAY%20REVISION.pdf	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/downloads/student-revision/FORM%203%20HOLIDAY%20REVISION.pdf	(from https://nyerihigh.sc.ke/students-assignments)
10:12:40	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:40%20GMT	https://nyerihigh.sc.ke/index.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/index-2.html	(from https://nyerihigh.sc.ke/students-assignments)
10:12:41	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:40%20GMT	https://nyerihigh.sc.ke/index.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/index-2.html	(from https://nyerihigh.sc.ke/about-us)
10:12:41	103017/103017	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:12%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-2.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-2.jpg	(from https://nyerihigh.sc.ke/about-us)
10:12:42	127400/127400	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:14%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-nhs-1.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-nhs-1.jpg	(from https://nyerihigh.sc.ke/about-us)
10:12:43	72502/72502	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:16%20GMT	https://nyerihigh.sc.ke/img/img-bg/theprincipal1.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/theprincipal1.jpg	(from https://nyerihigh.sc.ke/about-us)
10:12:44	5775786/5775786	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20May%202022%2012:25:39%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-nhs-04.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-nhs-04.jpg	(from https://nyerihigh.sc.ke/index)
10:12:44	263148/263148	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jan%202025%2008:50:59%20GMT	https://nyerihigh.sc.ke/img/img-bg/pc-9-dep-principal.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/pc-9-dep-principal.jpg	(from https://nyerihigh.sc.ke/about-us)
10:12:45	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:45%20GMT	https://nyerihigh.sc.ke/img/img-bg/pc---dep-principal.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/pc---dep-principal.4e.delayed	(from https://nyerihigh.sc.ke/about-us)
10:12:45	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:45%20GMT	https://nyerihigh.sc.ke/videos/nyeri-high-school-jerusalema-dance.mp4	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/videos/nyeri-high-school-jerusalema-dance.mp4	(from https://nyerihigh.sc.ke/about-us)
10:12:46	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:45%20GMT	https://nyerihigh.sc.ke/videos/nyeri-high-school-jerusalema-dance.webm	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/videos/nyeri-high-school-jerusalema-dance.webm	(from https://nyerihigh.sc.ke/about-us)
10:12:46	153081/153081	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:13%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-5.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-5.jpg	(from https://nyerihigh.sc.ke/about-us)
10:12:48	183965/183965	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:12%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-10.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-10.jpg	(from https://nyerihigh.sc.ke/about-us)
10:12:48	272704/272704	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:15%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-4.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-4.jpg	(from https://nyerihigh.sc.ke/about-us)
10:12:49	201618/201618	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:14%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-6.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-6.jpg	(from https://nyerihigh.sc.ke/about-us)
10:12:49	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:48%20GMT	https://nyerihigh.sc.ke/index.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/index-2.html	(from https://nyerihigh.sc.ke/about-us)
10:12:49	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:49%20GMT	https://nyerihigh.sc.ke/index.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/index-2.html	(from https://nyerihigh.sc.ke/our-history)
10:12:50	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:49%20GMT	https://nyerihigh.sc.ke/ceurriculum.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/ceurriculum.html	(from https://nyerihigh.sc.ke/our-history)
10:12:50	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:50%20GMT	https://nyerihigh.sc.ke/ceurriculum	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/ceurriculum	(from https://nyerihigh.sc.ke/our-history)
10:12:50	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Oct%202025%2007:12:50%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-3.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-3.jpg	(from https://nyerihigh.sc.ke/our-history)
10:12:51	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:50%20GMT	https://nyerihigh.sc.ke/index.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/index-2.html	(from https://nyerihigh.sc.ke/our-history)
